insert into PURCHASEEVENT values(1, 30, 158, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.46); 
insert into PURCHASEEVENT values(1391, 44, 266, (TO_DATE('02/03/2005', 'mm/dd/yyyy')), 2.87); 
insert into PURCHASEEVENT values(1392, 25, 111, (TO_DATE('02/03/2005', 'mm/dd/yyyy')), 3.65); 
insert into PURCHASEEVENT values(1393, 45, 243, (TO_DATE('02/03/2005', 'mm/dd/yyyy')), 2.84); 
insert into PURCHASEEVENT values(1394, 11, 37, (TO_DATE('02/03/2005', 'mm/dd/yyyy')), 4.65); 
insert into PURCHASEEVENT values(1395, 53, 289, (TO_DATE('02/03/2005', 'mm/dd/yyyy')), 2.97); 
insert into PURCHASEEVENT values(1396, 35, 104, (TO_DATE('02/03/2005', 'mm/dd/yyyy')), 3.97); 
insert into PURCHASEEVENT values(1397, 14, 50, (TO_DATE('02/03/2005', 'mm/dd/yyyy')), 2.69); 
insert into PURCHASEEVENT values(1398, 40, 200, (TO_DATE('02/03/2005', 'mm/dd/yyyy')), 3.1); 
insert into PURCHASEEVENT values(1399, 42, 206, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.84); 
insert into PURCHASEEVENT values(1400, 55, 349, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.13); 
insert into PURCHASEEVENT values(1401, 16, 78, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.06); 
insert into PURCHASEEVENT values(1402, 49, 275, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.26); 
insert into PURCHASEEVENT values(1403, 46, 256, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 1.71); 
insert into PURCHASEEVENT values(1404, 4, 80, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.46); 
insert into PURCHASEEVENT values(1405, 24, 167, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.72); 
insert into PURCHASEEVENT values(1406, 6, 14, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.06); 
insert into PURCHASEEVENT values(1407, 42, 223, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.43); 
insert into PURCHASEEVENT values(1408, 9, 3, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.31); 
insert into PURCHASEEVENT values(1409, 12, 15, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.55); 
insert into PURCHASEEVENT values(1410, 14, 61, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.73); 
insert into PURCHASEEVENT values(1411, 46, 255, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.44); 
insert into PURCHASEEVENT values(1412, 45, 196, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.15); 
insert into PURCHASEEVENT values(1413, 13, 65, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.79); 
insert into PURCHASEEVENT values(1414, 51, 304, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.18); 
insert into PURCHASEEVENT values(1415, 29, 172, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.84); 
insert into PURCHASEEVENT values(1416, 22, 113, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.28); 
insert into PURCHASEEVENT values(1417, 33, 155, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.58); 
insert into PURCHASEEVENT values(1418, 12, 38, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.26); 
insert into PURCHASEEVENT values(1419, 31, 148, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.51); 
insert into PURCHASEEVENT values(1420, 16, 45, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.99); 
insert into PURCHASEEVENT values(1421, 43, 236, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.31); 
insert into PURCHASEEVENT values(1422, 39, 216, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.59); 
insert into PURCHASEEVENT values(1423, 54, 287, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.98); 
insert into PURCHASEEVENT values(1424, 3, 17, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.47); 
insert into PURCHASEEVENT values(1425, 34, 142, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.99); 
insert into PURCHASEEVENT values(1426, 34, 108, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.58); 
insert into PURCHASEEVENT values(1427, 54, 298, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.32); 
insert into PURCHASEEVENT values(1428, 23, 179, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.1); 
insert into PURCHASEEVENT values(1429, 47, 340, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.78); 
insert into PURCHASEEVENT values(1430, 48, 311, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.01); 
insert into PURCHASEEVENT values(1431, 15, 15, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.54); 
insert into PURCHASEEVENT values(1432, 36, 129, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.37); 
insert into PURCHASEEVENT values(1433, 11, 85, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.13); 
insert into PURCHASEEVENT values(1434, 22, 161, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.36); 
insert into PURCHASEEVENT values(1435, 11, 77, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.31); 
insert into PURCHASEEVENT values(1436, 30, 174, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.93); 
insert into PURCHASEEVENT values(1437, 48, 318, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.45); 
insert into PURCHASEEVENT values(1438, 46, 252, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.6); 
insert into PURCHASEEVENT values(1439, 56, 278, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.65); 
insert into PURCHASEEVENT values(1440, 32, 156, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.3); 
insert into PURCHASEEVENT values(1441, 17, 108, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.99); 
insert into PURCHASEEVENT values(1442, 35, 109, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.97); 
insert into PURCHASEEVENT values(1443, 30, 147, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.97); 
insert into PURCHASEEVENT values(1444, 54, 336, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.18); 
insert into PURCHASEEVENT values(1445, 43, 223, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.55); 
insert into PURCHASEEVENT values(1446, 36, 121, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.23); 
insert into PURCHASEEVENT values(1447, 24, 146, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.4); 
insert into PURCHASEEVENT values(1448, 6, 33, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.3); 
insert into PURCHASEEVENT values(1449, 42, 255, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.72); 
insert into PURCHASEEVENT values(1450, 43, 185, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.14); 
insert into PURCHASEEVENT values(1451, 52, 288, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.15); 
insert into PURCHASEEVENT values(1452, 53, 289, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.42); 
insert into PURCHASEEVENT values(1453, 54, 315, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.31); 
insert into PURCHASEEVENT values(1454, 43, 238, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.94); 
insert into PURCHASEEVENT values(1455, 25, 175, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.8); 
insert into PURCHASEEVENT values(1456, 50, 337, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.59); 
insert into PURCHASEEVENT values(1457, 39, 228, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.63); 
insert into PURCHASEEVENT values(1458, 18, 116, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.77); 
insert into PURCHASEEVENT values(1459, 46, 193, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.08); 
insert into PURCHASEEVENT values(1460, 45, 249, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.28); 
insert into PURCHASEEVENT values(1461, 44, 207, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.58); 
insert into PURCHASEEVENT values(1462, 44, 251, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.83); 
insert into PURCHASEEVENT values(1463, 53, 354, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.71); 
insert into PURCHASEEVENT values(1464, 53, 357, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.61); 
insert into PURCHASEEVENT values(1465, 51, 287, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.08); 
insert into PURCHASEEVENT values(1466, 48, 273, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.61); 
insert into PURCHASEEVENT values(1467, 54, 289, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.02); 
insert into PURCHASEEVENT values(1468, 15, 88, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.96); 
insert into PURCHASEEVENT values(1469, 44, 222, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.55); 
insert into PURCHASEEVENT values(1470, 49, 320, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.02); 
insert into PURCHASEEVENT values(1471, 10, 47, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.59); 
insert into PURCHASEEVENT values(1472, 14, 13, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.51); 
insert into PURCHASEEVENT values(1473, 43, 220, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.41); 
insert into PURCHASEEVENT values(1474, 46, 262, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.67); 
insert into PURCHASEEVENT values(1475, 44, 205, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.48); 
insert into PURCHASEEVENT values(1476, 15, 8, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.73); 
insert into PURCHASEEVENT values(1477, 33, 126, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.55); 
insert into PURCHASEEVENT values(1478, 46, 264, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.76); 
insert into PURCHASEEVENT values(1479, 15, 50, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.82); 
insert into PURCHASEEVENT values(1480, 36, 177, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 2.65); 
insert into PURCHASEEVENT values(1481, 13, 16, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.99); 
insert into PURCHASEEVENT values(1482, 46, 213, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.64); 
insert into PURCHASEEVENT values(1483, 53, 315, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 4.62); 
insert into PURCHASEEVENT values(1484, 15, 32, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 3.92); 
insert into PURCHASEEVENT values(1485, 49, 275, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 4.16); 
insert into PURCHASEEVENT values(1486, 44, 192, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.76); 
insert into PURCHASEEVENT values(1487, 51, 337, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.91); 
insert into PURCHASEEVENT values(1488, 40, 241, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.7); 
insert into PURCHASEEVENT values(1489, 46, 183, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.63); 
insert into PURCHASEEVENT values(1490, 38, 254, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.12); 
insert into PURCHASEEVENT values(1491, 10, 38, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 4.67); 
insert into PURCHASEEVENT values(1492, 29, 178, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.66); 
insert into PURCHASEEVENT values(1493, 31, 129, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 5.19); 
insert into PURCHASEEVENT values(1494, 40, 228, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.3); 
insert into PURCHASEEVENT values(1495, 41, 255, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.09); 
insert into PURCHASEEVENT values(1496, 52, 360, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.85); 
insert into PURCHASEEVENT values(1497, 56, 294, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 4.16); 
insert into PURCHASEEVENT values(1498, 40, 257, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.88); 
insert into PURCHASEEVENT values(1499, 6, 67, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.54); 
insert into PURCHASEEVENT values(1500, 42, 189, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.06); 
insert into PURCHASEEVENT values(1501, 11, 62, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.59); 
insert into PURCHASEEVENT values(1502, 34, 122, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 4.63); 
insert into PURCHASEEVENT values(1503, 42, 225, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.99); 
insert into PURCHASEEVENT values(1504, 36, 108, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.84); 
insert into PURCHASEEVENT values(1505, 13, 65, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.03); 
insert into PURCHASEEVENT values(1506, 53, 312, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.51); 
insert into PURCHASEEVENT values(1507, 45, 214, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.76); 
insert into PURCHASEEVENT values(1508, 13, 66, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.83); 
insert into PURCHASEEVENT values(1509, 41, 237, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.8); 
insert into PURCHASEEVENT values(1510, 3, 75, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 4.08); 
insert into PURCHASEEVENT values(1511, 40, 236, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.36); 
insert into PURCHASEEVENT values(1512, 6, 79, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.84); 
insert into PURCHASEEVENT values(1513, 25, 149, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.98); 
insert into PURCHASEEVENT values(1514, 34, 154, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.77); 
insert into PURCHASEEVENT values(1515, 56, 348, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.71); 
insert into PURCHASEEVENT values(1516, 14, 83, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.24); 
insert into PURCHASEEVENT values(1517, 52, 346, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.77); 
insert into PURCHASEEVENT values(1518, 11, 40, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 4.57); 
insert into PURCHASEEVENT values(1519, 17, 108, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.98); 
insert into PURCHASEEVENT values(1520, 53, 313, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.61); 
insert into PURCHASEEVENT values(1521, 55, 358, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.07); 
insert into PURCHASEEVENT values(1522, 56, 353, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.65); 
insert into PURCHASEEVENT values(1523, 26, 113, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.54); 
insert into PURCHASEEVENT values(1524, 44, 270, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.22); 
insert into PURCHASEEVENT values(1525, 45, 260, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 2.86); 
insert into PURCHASEEVENT values(1526, 31, 138, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.59); 
insert into PURCHASEEVENT values(1527, 54, 278, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 4.34); 
insert into PURCHASEEVENT values(1528, 14, 26, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.47); 
insert into PURCHASEEVENT values(1529, 39, 217, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.49); 
insert into PURCHASEEVENT values(1530, 29, 99, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 4.04); 
insert into PURCHASEEVENT values(1531, 23, 154, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.16); 
insert into PURCHASEEVENT values(1532, 20, 141, (TO_DATE('02/07/2005', 'mm/dd/yyyy')), 3.28); 
insert into PURCHASEEVENT values(1533, 45, 221, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 4.1); 
insert into PURCHASEEVENT values(1534, 54, 360, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.74); 
insert into PURCHASEEVENT values(1535, 26, 142, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.96); 
insert into PURCHASEEVENT values(1536, 47, 315, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 4.7); 
insert into PURCHASEEVENT values(1537, 45, 218, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 4.11); 
insert into PURCHASEEVENT values(1538, 19, 171, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.57); 
insert into PURCHASEEVENT values(1539, 1, 68, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.44); 
insert into PURCHASEEVENT values(1540, 54, 288, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.84); 
insert into PURCHASEEVENT values(1541, 15, 3, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.53); 
insert into PURCHASEEVENT values(1542, 56, 276, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 4.19); 
insert into PURCHASEEVENT values(1543, 28, 169, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.7); 
insert into PURCHASEEVENT values(1544, 45, 252, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.93); 
insert into PURCHASEEVENT values(1545, 3, 86, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.7); 
insert into PURCHASEEVENT values(1546, 34, 169, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.97); 
insert into PURCHASEEVENT values(1547, 46, 267, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.23); 
insert into PURCHASEEVENT values(1548, 7, 24, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 4.4); 
insert into PURCHASEEVENT values(1549, 54, 330, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.69); 
insert into PURCHASEEVENT values(1550, 37, 205, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.15); 
insert into PURCHASEEVENT values(1551, 20, 178, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.94); 
insert into PURCHASEEVENT values(1552, 54, 287, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.92); 
insert into PURCHASEEVENT values(1553, 37, 241, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.86); 
insert into PURCHASEEVENT values(1554, 54, 300, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.92); 
insert into PURCHASEEVENT values(1555, 51, 330, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.01); 
insert into PURCHASEEVENT values(1556, 40, 205, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.12); 
insert into PURCHASEEVENT values(1557, 45, 239, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.36); 
insert into PURCHASEEVENT values(1558, 45, 237, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.65); 
insert into PURCHASEEVENT values(1559, 56, 312, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.92); 
insert into PURCHASEEVENT values(1560, 42, 267, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.02); 
insert into PURCHASEEVENT values(1561, 15, 16, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 4.01); 
insert into PURCHASEEVENT values(1562, 41, 270, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.37); 
insert into PURCHASEEVENT values(1563, 36, 104, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.49); 
insert into PURCHASEEVENT values(1564, 29, 96, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 4.38); 
insert into PURCHASEEVENT values(1565, 56, 341, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.03); 
insert into PURCHASEEVENT values(1566, 54, 323, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.97); 
insert into PURCHASEEVENT values(1567, 49, 349, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.67); 
insert into PURCHASEEVENT values(1568, 40, 217, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.75); 
insert into PURCHASEEVENT values(1569, 43, 239, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.21); 
insert into PURCHASEEVENT values(1570, 9, 24, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.53); 
insert into PURCHASEEVENT values(1571, 12, 88, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.45); 
insert into PURCHASEEVENT values(1572, 49, 273, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.47); 
insert into PURCHASEEVENT values(1573, 42, 210, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.44); 
insert into PURCHASEEVENT values(1574, 49, 305, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.85); 
insert into PURCHASEEVENT values(1575, 50, 359, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.59); 
insert into PURCHASEEVENT values(1576, 32, 137, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 2.7); 
insert into PURCHASEEVENT values(1577, 30, 115, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.89); 
insert into PURCHASEEVENT values(1578, 15, 24, (TO_DATE('02/08/2005', 'mm/dd/yyyy')), 3.86); 
insert into PURCHASEEVENT values(1579, 13, 56, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.6); 
insert into PURCHASEEVENT values(1580, 54, 321, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 2.61); 
insert into PURCHASEEVENT values(1581, 6, 2, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.48); 
insert into PURCHASEEVENT values(1582, 5, 23, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.78); 
insert into PURCHASEEVENT values(1583, 11, 26, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.52); 
insert into PURCHASEEVENT values(1584, 34, 92, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.47); 
insert into PURCHASEEVENT values(1585, 41, 241, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 2.26); 
insert into PURCHASEEVENT values(1586, 45, 209, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.01); 
insert into PURCHASEEVENT values(1587, 13, 74, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.43); 
insert into PURCHASEEVENT values(1588, 11, 8, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.6); 
insert into PURCHASEEVENT values(1589, 52, 330, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 2.41); 
insert into PURCHASEEVENT values(1590, 35, 93, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.5); 
insert into PURCHASEEVENT values(1591, 44, 187, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.16); 
insert into PURCHASEEVENT values(1592, 14, 11, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.87); 
insert into PURCHASEEVENT values(1593, 2, 35, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.98); 
insert into PURCHASEEVENT values(1594, 33, 91, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.24); 
insert into PURCHASEEVENT values(1595, 5, 52, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.56); 
insert into PURCHASEEVENT values(1596, 7, 62, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.61); 
insert into PURCHASEEVENT values(1597, 35, 149, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.6); 
insert into PURCHASEEVENT values(1598, 44, 204, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.68); 
insert into PURCHASEEVENT values(1599, 24, 134, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.99); 
insert into PURCHASEEVENT values(1600, 15, 37, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 5.04); 
insert into PURCHASEEVENT values(1601, 36, 137, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.44); 
insert into PURCHASEEVENT values(1602, 13, 13, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.29); 
insert into PURCHASEEVENT values(1603, 40, 227, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.3); 
insert into PURCHASEEVENT values(1604, 56, 277, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.78); 
insert into PURCHASEEVENT values(1605, 10, 17, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.3); 
insert into PURCHASEEVENT values(1606, 51, 300, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.67); 
insert into PURCHASEEVENT values(1607, 53, 320, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 2.95); 
insert into PURCHASEEVENT values(1608, 20, 157, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.26); 
insert into PURCHASEEVENT values(1609, 38, 237, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.17); 
insert into PURCHASEEVENT values(1610, 53, 353, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 2.56); 
insert into PURCHASEEVENT values(1611, 7, 75, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.96); 
insert into PURCHASEEVENT values(1612, 6, 37, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 5.06); 
insert into PURCHASEEVENT values(1613, 13, 18, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.49); 
insert into PURCHASEEVENT values(1614, 53, 358, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 2.53); 
insert into PURCHASEEVENT values(1615, 42, 260, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 2.8); 
insert into PURCHASEEVENT values(1616, 14, 17, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.55); 
insert into PURCHASEEVENT values(1617, 50, 316, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.82); 
insert into PURCHASEEVENT values(1618, 29, 143, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.57); 
insert into PURCHASEEVENT values(1619, 53, 280, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.75); 
insert into PURCHASEEVENT values(1620, 16, 45, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 5.16); 
insert into PURCHASEEVENT values(1621, 30, 117, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 4.57); 
insert into PURCHASEEVENT values(1622, 14, 66, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 3.1); 
