insert into RESTOCKEVENT values(1, 201, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(259, 207, (TO_DATE('04/21/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(260, 50, (TO_DATE('04/22/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(261, 109, (TO_DATE('04/22/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(262, 195, (TO_DATE('04/23/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(263, 124, (TO_DATE('04/23/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(264, 182, (TO_DATE('04/23/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(265, 146, (TO_DATE('04/23/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(266, 90, (TO_DATE('04/23/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(267, 79, (TO_DATE('04/23/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(268, 255, (TO_DATE('04/24/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(269, 31, (TO_DATE('04/24/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(270, 106, (TO_DATE('04/24/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(271, 245, (TO_DATE('04/24/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(272, 237, (TO_DATE('04/25/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(273, 241, (TO_DATE('04/25/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(274, 82, (TO_DATE('04/25/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(275, 93, (TO_DATE('04/28/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(276, 40, (TO_DATE('04/29/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(277, 313, (TO_DATE('04/29/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(278, 46, (TO_DATE('04/29/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(279, 252, (TO_DATE('05/01/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(280, 107, (TO_DATE('05/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(281, 167, (TO_DATE('05/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(282, 204, (TO_DATE('05/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(283, 205, (TO_DATE('05/07/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(284, 298, (TO_DATE('05/07/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(285, 18, (TO_DATE('05/08/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(286, 143, (TO_DATE('05/09/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(287, 227, (TO_DATE('05/09/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(288, 59, (TO_DATE('05/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(289, 53, (TO_DATE('05/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(290, 225, (TO_DATE('05/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(291, 235, (TO_DATE('05/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(292, 81, (TO_DATE('05/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(293, 97, (TO_DATE('05/14/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(294, 267, (TO_DATE('05/14/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(295, 222, (TO_DATE('05/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(296, 37, (TO_DATE('05/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(297, 263, (TO_DATE('05/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(298, 67, (TO_DATE('05/21/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(299, 189, (TO_DATE('05/22/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(300, 101, (TO_DATE('05/22/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(301, 301, (TO_DATE('05/22/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(302, 210, (TO_DATE('05/22/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(303, 111, (TO_DATE('05/26/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(304, 116, (TO_DATE('05/26/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(305, 27, (TO_DATE('05/26/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(306, 144, (TO_DATE('05/27/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(307, 186, (TO_DATE('05/28/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(308, 339, (TO_DATE('05/29/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(309, 73, (TO_DATE('05/29/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(310, 334, (TO_DATE('05/30/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(311, 129, (TO_DATE('06/02/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(312, 206, (TO_DATE('06/02/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(313, 256, (TO_DATE('06/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(314, 316, (TO_DATE('06/04/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(315, 321, (TO_DATE('06/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(316, 354, (TO_DATE('06/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(317, 338, (TO_DATE('06/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(318, 211, (TO_DATE('06/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(319, 187, (TO_DATE('06/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(320, 208, (TO_DATE('06/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(321, 294, (TO_DATE('06/09/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(322, 71, (TO_DATE('06/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(323, 341, (TO_DATE('06/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(324, 254, (TO_DATE('06/12/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(325, 105, (TO_DATE('06/12/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(326, 238, (TO_DATE('06/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(327, 171, (TO_DATE('06/16/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(328, 201, (TO_DATE('06/18/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(329, 185, (TO_DATE('06/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(330, 95, (TO_DATE('06/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(331, 179, (TO_DATE('06/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(332, 184, (TO_DATE('06/20/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(333, 137, (TO_DATE('06/23/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(334, 57, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(335, 168, (TO_DATE('01/10/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(336, 117, (TO_DATE('01/11/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(337, 17, (TO_DATE('01/12/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(338, 61, (TO_DATE('01/13/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(339, 318, (TO_DATE('01/13/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(340, 247, (TO_DATE('01/18/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(341, 164, (TO_DATE('01/19/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(342, 141, (TO_DATE('01/20/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(343, 351, (TO_DATE('01/21/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(344, 142, (TO_DATE('01/21/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(345, 346, (TO_DATE('01/21/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(346, 310, (TO_DATE('01/24/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(347, 217, (TO_DATE('01/28/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(348, 30, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(349, 89, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(350, 24, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(351, 329, (TO_DATE('01/10/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(352, 199, (TO_DATE('01/10/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(353, 243, (TO_DATE('01/12/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(354, 172, (TO_DATE('01/20/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(355, 229, (TO_DATE('01/24/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(356, 48, (TO_DATE('01/25/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(357, 249, (TO_DATE('01/31/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(358, 29, (TO_DATE('01/31/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(359, 118, (TO_DATE('02/04/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(360, 228, (TO_DATE('02/09/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(361, 41, (TO_DATE('02/21/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(362, 353, (TO_DATE('02/24/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(363, 291, (TO_DATE('02/28/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(364, 166, (TO_DATE('02/28/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(365, 257, (TO_DATE('03/07/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(366, 311, (TO_DATE('03/07/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(367, 223, (TO_DATE('03/09/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(368, 191, (TO_DATE('03/17/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(369, 279, (TO_DATE('04/05/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(370, 305, (TO_DATE('04/08/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(371, 360, (TO_DATE('05/04/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(372, 347, (TO_DATE('06/23/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(373, 314, (TO_DATE('07/06/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(374, 323, (TO_DATE('07/08/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(375, 26, (TO_DATE('07/08/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(376, 198, (TO_DATE('08/05/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(377, 15, (TO_DATE('08/22/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(378, 54, (TO_DATE('09/07/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(379, 181, (TO_DATE('09/14/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(380, 127, (TO_DATE('09/19/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(381, 110, (TO_DATE('09/19/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(382, 344, (TO_DATE('09/21/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(383, 169, (TO_DATE('09/29/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(384, 190, (TO_DATE('10/17/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(385, 134, (TO_DATE('10/25/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(386, 233, (TO_DATE('10/25/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(387, 14, (TO_DATE('10/28/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(388, 265, (TO_DATE('10/31/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(389, 56, (TO_DATE('11/04/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(390, 173, (TO_DATE('11/08/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(391, 215, (TO_DATE('11/08/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(392, 65, (TO_DATE('11/10/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(393, 102, (TO_DATE('11/18/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(394, 74, (TO_DATE('11/25/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(395, 200, (TO_DATE('11/25/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(396, 149, (TO_DATE('12/01/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(397, 218, (TO_DATE('12/01/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(398, 92, (TO_DATE('12/01/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(399, 76, (TO_DATE('12/07/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(400, 306, (TO_DATE('12/08/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(401, 333, (TO_DATE('12/08/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(402, 83, (TO_DATE('12/13/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(403, 64, (TO_DATE('12/14/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(404, 356, (TO_DATE('12/16/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(405, 158, (TO_DATE('12/19/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(406, 272, (TO_DATE('12/20/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(407, 296, (TO_DATE('12/22/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(408, 262, (TO_DATE('12/22/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(409, 77, (TO_DATE('12/23/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(410, 96, (TO_DATE('12/23/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(411, 28, (TO_DATE('12/27/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(412, 145, (TO_DATE('12/27/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(413, 87, (TO_DATE('12/28/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(414, 153, (TO_DATE('12/28/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(415, 322, (TO_DATE('12/29/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(416, 274, (TO_DATE('12/30/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(417, 98, (TO_DATE('01/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(418, 290, (TO_DATE('01/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(419, 277, (TO_DATE('01/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(420, 358, (TO_DATE('01/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(421, 300, (TO_DATE('01/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(422, 51, (TO_DATE('01/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(423, 139, (TO_DATE('01/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(424, 55, (TO_DATE('01/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(425, 133, (TO_DATE('01/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(426, 281, (TO_DATE('01/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(427, 157, (TO_DATE('01/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(428, 226, (TO_DATE('01/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(429, 278, (TO_DATE('01/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(430, 5, (TO_DATE('01/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(431, 72, (TO_DATE('01/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(432, 176, (TO_DATE('01/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(433, 47, (TO_DATE('01/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(434, 283, (TO_DATE('02/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(435, 194, (TO_DATE('02/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(436, 292, (TO_DATE('02/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(437, 295, (TO_DATE('02/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(438, 3, (TO_DATE('02/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(439, 250, (TO_DATE('02/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(440, 326, (TO_DATE('02/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(441, 99, (TO_DATE('02/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(442, 85, (TO_DATE('02/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(443, 342, (TO_DATE('02/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(444, 352, (TO_DATE('02/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(445, 259, (TO_DATE('02/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(446, 4, (TO_DATE('02/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(447, 248, (TO_DATE('02/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(448, 270, (TO_DATE('02/15/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(449, 280, (TO_DATE('02/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(450, 80, (TO_DATE('02/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(451, 175, (TO_DATE('02/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(452, 299, (TO_DATE('02/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(453, 160, (TO_DATE('02/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(454, 289, (TO_DATE('02/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(455, 94, (TO_DATE('02/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(456, 302, (TO_DATE('02/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(457, 150, (TO_DATE('02/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(458, 125, (TO_DATE('02/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(459, 193, (TO_DATE('02/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(460, 108, (TO_DATE('03/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(461, 207, (TO_DATE('03/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(462, 8, (TO_DATE('03/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(463, 126, (TO_DATE('03/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(464, 159, (TO_DATE('03/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(465, 121, (TO_DATE('03/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(466, 122, (TO_DATE('03/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(467, 330, (TO_DATE('03/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(468, 324, (TO_DATE('03/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(469, 75, (TO_DATE('03/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(470, 114, (TO_DATE('03/15/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(471, 253, (TO_DATE('03/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(472, 38, (TO_DATE('03/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(473, 328, (TO_DATE('03/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(474, 260, (TO_DATE('03/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(475, 62, (TO_DATE('03/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(476, 224, (TO_DATE('03/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(477, 317, (TO_DATE('03/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(478, 286, (TO_DATE('03/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(479, 131, (TO_DATE('03/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(480, 58, (TO_DATE('03/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(481, 284, (TO_DATE('03/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(482, 312, (TO_DATE('03/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(483, 303, (TO_DATE('03/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(484, 138, (TO_DATE('03/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(485, 20, (TO_DATE('03/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(486, 136, (TO_DATE('03/29/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(487, 301, (TO_DATE('03/29/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(488, 1, (TO_DATE('03/29/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(489, 273, (TO_DATE('03/29/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(490, 251, (TO_DATE('03/29/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(491, 196, (TO_DATE('03/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(492, 236, (TO_DATE('03/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(493, 214, (TO_DATE('03/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(494, 177, (TO_DATE('04/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(495, 202, (TO_DATE('04/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(496, 225, (TO_DATE('04/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(497, 266, (TO_DATE('04/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(498, 152, (TO_DATE('04/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(499, 230, (TO_DATE('04/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(500, 221, (TO_DATE('04/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(501, 100, (TO_DATE('04/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(502, 178, (TO_DATE('04/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(503, 10, (TO_DATE('04/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(504, 244, (TO_DATE('04/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(505, 293, (TO_DATE('04/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(506, 42, (TO_DATE('04/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(507, 304, (TO_DATE('04/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(508, 39, (TO_DATE('04/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(509, 340, (TO_DATE('04/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(510, 146, (TO_DATE('04/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(511, 35, (TO_DATE('04/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(512, 237, (TO_DATE('04/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(513, 240, (TO_DATE('04/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(514, 103, (TO_DATE('04/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(515, 327, (TO_DATE('04/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(516, 162, (TO_DATE('04/17/2006', 'mm/dd/yyyy')), 100); 
