insert into ITEM values(1, 'SHIRT', 'SMALL', 2.53, 'MEN');
insert into ITEM values(365, 'SHIRT', 'MEDIUM', 2.25, 'BOYS');
insert into ITEM values(366, 'SHIRT', 'MEDIUM', 1.96, 'BOYS');
insert into ITEM values(367, 'SHIRT', 'LARGE', 2.14, 'BOYS');
insert into ITEM values(368, 'SHIRT', 'LARGE', 1.84, 'BOYS');
insert into ITEM values(369, 'SHIRT', 'LARGE', 2.46, 'BOYS');
insert into ITEM values(370, 'SHIRT', 'XL', 2.26, 'BOYS');
insert into ITEM values(371, 'SHIRT', 'XL', 2.04, 'BOYS');
insert into ITEM values(372, 'SHIRT', 'XL', 2.28, 'BOYS');
insert into ITEM values(373, 'SHIRT', 'XXL', 2.13, 'BOYS');
insert into ITEM values(374, 'SHIRT', 'XXL', 2.8, 'BOYS');
insert into ITEM values(375, 'SHIRT', 'XXL', 2.03, 'BOYS');
insert into ITEM values(376, 'SHORTS', 'SMALL', 2.28, 'BOYS');
insert into ITEM values(377, 'SHORTS', 'SMALL', 1.35, 'BOYS');
insert into ITEM values(378, 'SHORTS', 'SMALL', 1.49, 'BOYS');
insert into ITEM values(379, 'SHORTS', 'MEDIUM', 2.23, 'BOYS');
insert into ITEM values(380, 'SHORTS', 'MEDIUM', 1.64, 'BOYS');
insert into ITEM values(381, 'SHORTS', 'MEDIUM', 1.72, 'BOYS');
insert into ITEM values(382, 'SHORTS', 'LARGE', 1.35, 'BOYS');
insert into ITEM values(383, 'SHORTS', 'LARGE', 2.15, 'BOYS');
insert into ITEM values(384, 'SHORTS', 'LARGE', 2.17, 'BOYS');
insert into ITEM values(385, 'SHORTS', 'XL', 1.68, 'BOYS');
insert into ITEM values(386, 'SHORTS', 'XL', 1.85, 'BOYS');
insert into ITEM values(387, 'SHORTS', 'XL', 1.67, 'BOYS');
insert into ITEM values(388, 'SHORTS', 'XXL', 1.73, 'BOYS');
insert into ITEM values(389, 'SHORTS', 'XXL', 2.13, 'BOYS');
insert into ITEM values(390, 'SHORTS', 'XXL', 2.01, 'BOYS');
insert into ITEM values(391, 'JEANS', 'SMALL', 2.14, 'BOYS');
insert into ITEM values(392, 'JEANS', 'SMALL', 1.83, 'BOYS');
insert into ITEM values(393, 'JEANS', 'SMALL', 1.95, 'BOYS');
insert into ITEM values(394, 'JEANS', 'MEDIUM', 2.62, 'BOYS');
insert into ITEM values(395, 'JEANS', 'MEDIUM', 2.58, 'BOYS');
insert into ITEM values(396, 'JEANS', 'MEDIUM', 2.03, 'BOYS');
insert into ITEM values(397, 'JEANS', 'LARGE', 2.38, 'BOYS');
insert into ITEM values(398, 'JEANS', 'LARGE', 2.32, 'BOYS');
insert into ITEM values(399, 'JEANS', 'LARGE', 2.4, 'BOYS');
insert into ITEM values(400, 'JEANS', 'XL', 3.12, 'BOYS');
insert into ITEM values(401, 'JEANS', 'XL', 3.15, 'BOYS');
insert into ITEM values(402, 'JEANS', 'XL', 2.34, 'BOYS');
insert into ITEM values(403, 'JEANS', 'XXL', 2.56, 'BOYS');
insert into ITEM values(404, 'JEANS', 'XXL', 2.72, 'BOYS');
insert into ITEM values(405, 'JEANS', 'XXL', 2.9, 'BOYS');
insert into ITEM values(406, 'HAT', 'SMALL', 1.39, 'BOYS');
insert into ITEM values(407, 'HAT', 'SMALL', 1.64, 'BOYS');
insert into ITEM values(408, 'HAT', 'SMALL', 1.85, 'BOYS');
insert into ITEM values(409, 'HAT', 'MEDIUM', 1.43, 'BOYS');
insert into ITEM values(410, 'HAT', 'MEDIUM', 1.13, 'BOYS');
insert into ITEM values(411, 'HAT', 'MEDIUM', 1.29, 'BOYS');
insert into ITEM values(412, 'HAT', 'LARGE', 1.34, 'BOYS');
insert into ITEM values(413, 'HAT', 'LARGE', 1.08, 'BOYS');
insert into ITEM values(414, 'HAT', 'LARGE', 2.0, 'BOYS');
insert into ITEM values(415, 'HAT', 'XL', 1.74, 'BOYS');
insert into ITEM values(416, 'HAT', 'XL', 1.11, 'BOYS');
insert into ITEM values(417, 'HAT', 'XL', 2.06, 'BOYS');
insert into ITEM values(418, 'HAT', 'XXL', 1.47, 'BOYS');
insert into ITEM values(419, 'HAT', 'XXL', 1.95, 'BOYS');
insert into ITEM values(420, 'HAT', 'XXL', 1.24, 'BOYS');
insert into ITEM values(421, 'BELT', 'SMALL', 1.38, 'BOYS');
insert into ITEM values(422, 'BELT', 'SMALL', 1.46, 'BOYS');
insert into ITEM values(423, 'BELT', 'SMALL', 1.59, 'BOYS');
insert into ITEM values(424, 'BELT', 'MEDIUM', 1.49, 'BOYS');
insert into ITEM values(425, 'BELT', 'MEDIUM', 1.71, 'BOYS');
insert into ITEM values(426, 'BELT', 'MEDIUM', 0.85, 'BOYS');
insert into ITEM values(427, 'BELT', 'LARGE', 0.94, 'BOYS');
insert into ITEM values(428, 'BELT', 'LARGE', 1.54, 'BOYS');
insert into ITEM values(429, 'BELT', 'LARGE', 1.51, 'BOYS');
insert into ITEM values(430, 'BELT', 'XL', 1.37, 'BOYS');
insert into ITEM values(431, 'BELT', 'XL', 1.43, 'BOYS');
insert into ITEM values(432, 'BELT', 'XL', 1.14, 'BOYS');
insert into ITEM values(433, 'BELT', 'XXL', 1.27, 'BOYS');
insert into ITEM values(434, 'BELT', 'XXL', 1.06, 'BOYS');
insert into ITEM values(435, 'BELT', 'XXL', 1.06, 'BOYS');
insert into ITEM values(436, 'SOCKS', 'SMALL', 0.82, 'BOYS');
insert into ITEM values(437, 'SOCKS', 'SMALL', 0.87, 'BOYS');
insert into ITEM values(438, 'SOCKS', 'SMALL', 0.89, 'BOYS');
insert into ITEM values(439, 'SOCKS', 'MEDIUM', 1.45, 'BOYS');
insert into ITEM values(440, 'SOCKS', 'MEDIUM', 1.03, 'BOYS');
insert into ITEM values(441, 'SOCKS', 'MEDIUM', 0.82, 'BOYS');
insert into ITEM values(442, 'SOCKS', 'LARGE', 0.81, 'BOYS');
insert into ITEM values(443, 'SOCKS', 'LARGE', 1.39, 'BOYS');
insert into ITEM values(444, 'SOCKS', 'LARGE', 0.6, 'BOYS');
insert into ITEM values(445, 'SOCKS', 'XL', 1.23, 'BOYS');
insert into ITEM values(446, 'SOCKS', 'XL', 1.19, 'BOYS');
insert into ITEM values(447, 'SOCKS', 'XL', 0.92, 'BOYS');
insert into ITEM values(448, 'SOCKS', 'XXL', 1.31, 'BOYS');
insert into ITEM values(449, 'SOCKS', 'XXL', 1.42, 'BOYS');
insert into ITEM values(450, 'SOCKS', 'XXL', 1.36, 'BOYS');
insert into ITEM values(451, 'JACKET', 'SMALL', 1.57, 'BOYS');
insert into ITEM values(452, 'JACKET', 'SMALL', 2.22, 'BOYS');
insert into ITEM values(453, 'JACKET', 'SMALL', 1.92, 'BOYS');
insert into ITEM values(454, 'JACKET', 'MEDIUM', 2.22, 'BOYS');
insert into ITEM values(455, 'JACKET', 'MEDIUM', 1.83, 'BOYS');
insert into ITEM values(456, 'JACKET', 'MEDIUM', 2.23, 'BOYS');
insert into ITEM values(457, 'JACKET', 'LARGE', 2.19, 'BOYS');
insert into ITEM values(458, 'JACKET', 'LARGE', 2.63, 'BOYS');
insert into ITEM values(459, 'JACKET', 'LARGE', 2.33, 'BOYS');
insert into ITEM values(460, 'JACKET', 'XL', 2.3, 'BOYS');
insert into ITEM values(461, 'JACKET', 'XL', 2.8, 'BOYS');
insert into ITEM values(462, 'JACKET', 'XL', 2.7, 'BOYS');
insert into ITEM values(463, 'JACKET', 'XXL', 2.96, 'BOYS');
insert into ITEM values(464, 'JACKET', 'XXL', 2.42, 'BOYS');
insert into ITEM values(465, 'JACKET', 'XXL', 2.54, 'BOYS');
insert into ITEM values(466, 'SHOES', 'SMALL', 7.64, 'BOYS');
insert into ITEM values(467, 'SHOES', 'SMALL', 7.72, 'BOYS');
insert into ITEM values(468, 'SHOES', 'SMALL', 8.35, 'BOYS');
insert into ITEM values(469, 'SHOES', 'MEDIUM', 8.73, 'BOYS');
insert into ITEM values(470, 'SHOES', 'MEDIUM', 8.66, 'BOYS');
insert into ITEM values(471, 'SHOES', 'MEDIUM', 8.07, 'BOYS');
insert into ITEM values(472, 'SHOES', 'LARGE', 8.85, 'BOYS');
insert into ITEM values(473, 'SHOES', 'LARGE', 8.43, 'BOYS');
insert into ITEM values(474, 'SHOES', 'LARGE', 8.71, 'BOYS');
insert into ITEM values(475, 'SHOES', 'XL', 8.88, 'BOYS');
insert into ITEM values(476, 'SHOES', 'XL', 9.41, 'BOYS');
insert into ITEM values(477, 'SHOES', 'XL', 9.52, 'BOYS');
insert into ITEM values(478, 'SHOES', 'XXL', 10.07, 'BOYS');
insert into ITEM values(479, 'SHOES', 'XXL', 9.37, 'BOYS');
insert into ITEM values(480, 'SHOES', 'XXL', 10.05, 'BOYS');
